GameDate,HomeTeamName,HomeTeamScore,AwayTeamName,AwayTeamScore
11/19/2010,Auburn,68,Samford,79
11/19/2010,Boston University,58,Marist,37
11/19/2010,UC-Irvine,75,Navy,60
11/19/2010,Charlotte,74,East Carolina,63
11/19/2010,Clemson,69,Long Beach State,55
11/19/2010,College of Charleston,66,Rhode Island,75
11/19/2010,Cornell,54,St. Bonaventure,56
11/19/2010,Delaware,66,Howard,34
11/19/2010,Detroit,93,Indiana Tech,62
11/19/2010,Duke,110,Colgate,58
11/19/2010,Fordham,48,Hampton,58
11/19/2010,George Mason,65,NC State,78
11/19/2010,Georgia State,80,Troy,70
11/19/2010,Georgia Tech,77,Niagara,51
11/19/2010,Hartford,57,Dartmouth,71
11/19/2010,High Point,86,Gwynedd-Mercy,77
11/19/2010,Idaho State,78,Great Falls,68
11/19/2010,Illinois,80,Maryland,76
11/19/2010,Kansas,93,North Texas,60
11/19/2010,Kent State,78,Furman,74
11/19/2010,Lamar,90,UC-Riverside,75
11/19/2010,Louisiana,55,Cleveland State,60
11/19/2010,Louisiana Tech,85,Seattle,72
11/19/2010,Maine,95,Maine-Machias,44
11/19/2010,Miami (FL),88,North Carolina Central,65
11/19/2010,Middle Tennessee,90,Campbell,97
11/19/2010,Minnesota,72,UNC,67
11/19/2010,Mississippi State,76,Appalachian State,74
11/19/2010,Monmouth,69,Lehigh,68
11/19/2010,Montana,78,Montana Tech,51
11/19/2010,Montana State,92,Minot State,67
11/19/2010,Nebraska,67,Davidson,70
11/19/2010,North Dakota,64,Sacramento State,60
11/19/2010,Northern Arizona,97,Southwestern (AZ),47
11/19/2010,Northwestern,71,Arkansas-Pine Bluff,45
11/19/2010,Old Dominion,59,St. Peter's,52
11/19/2010,Penn State,64,Fairfield,49
11/19/2010,Portland,48,Kentucky,79
11/19/2010,Robert Morris,69,Duquesne,63
11/19/2010,San Diego,60,Boise State,65
11/19/2010,Seton Hall,83,Alabama,78
11/19/2010,South Carolina,85,Radford,56
11/19/2010,South Carolina State,69,Carver Bible,67
11/19/2010,USC Upstate,50,Coastal Carolina,71
11/19/2010,Southern,58,Tougaloo,71
11/19/2010,SMU,69,Portland State,53
11/19/2010,Texas,66,Pitt,68
11/19/2010,Texas A&M,77,Texas A&M-International,46
11/19/2010,UTSA,71,Cameron,61
11/19/2010,Texas Tech,70,Stephen F. Austin,58
11/19/2010,Toledo,51,UIC,57
11/19/2010,Tulane,77,Centenary (LA),36
11/19/2010,Tulsa,62,Missouri State,50
11/19/2010,West Virginia,74,Vanderbilt,71
11/19/2010,Western Kentucky,62,Hofstra,60
11/19/2010,Wofford,59,Georgetown,74
11/19/2010,Xavier,86,Iowa,73
11/20/2010,Air Force,87,Tennessee State,72
11/20/2010,Akron,91,Youngstown State,84
11/20/2010,Alabama A&M,70,Tuskegee,67
11/20/2010,Alabama State,74,Kennesaw State,59
11/20/2010,Arizona State,69,Alabama-Birmingham,66
11/20/2010,Auburn,54,Campbell,61
11/20/2010,BYU,109,Chicago State,60
11/20/2010,Brown,81,Sacred Heart,67
11/20/2010,Bryant,66,Army,76
11/20/2010,Buffalo,87,Towson,76
11/20/2010,Butler,88,Ball State,55
11/20/2010,Cal State Northridge,109,Vanguard,66
11/20/2010,California,89,New Mexico,64
11/20/2010,UC-Irvine,85,Seattle,77
11/20/2010,UCSB,69,Fresno State,54
11/20/2010,Canisius,71,Eastern Michigan,51
11/20/2010,Cincinnati,65,Fort Wayne,59
11/20/2010,Citadel,67,James Madison,74
11/20/2010,ETSU,73,Tennessee Tech,60
11/20/2010,Eastern Illinois,57,Indiana-South Bend,40
11/20/2010,Eastern Kentucky,66,Presbyterian,67
11/20/2010,Elon,70,Wake Forest,89
11/20/2010,Fairleigh Dickinson,46,Albany (NY),72
11/20/2010,Florida Atlantic,72,American,82
11/20/2010,Florida International,65,Utah Valley,62
11/20/2010,Grambling,70,Florida Gulf Coast,74
11/20/2010,Hawaii,83,Central Arkansas,69
11/20/2010,Houston,81,Northwest Oklahoma State,58
11/20/2010,Houston Baptist,65,Texas-Arlington,74
11/20/2010,Idaho,53,Portland,66
11/20/2010,UIC,66,College of Charleston,78
11/20/2010,Iowa,55,Alabama,47
11/20/2010,Jacksonville,87,Florida Tech,75
11/20/2010,La Salle,79,Morgan State,74
11/20/2010,Long Beach State,68,St. Peter's,56
