"","TeamName","OpponentName","Line","Date"
"610","Milwaukee","Florida International",5,2018-11-13
"611","NC-Wilmington","UNC Greensboro",6,2018-11-13
"612","UNC Greensboro","NC-Wilmington",-6,2018-11-13
"613","Georgia State","Mercer",-11.5,2018-11-13
"614","Mercer","Georgia State",11.5,2018-11-13
"615","Pennsylvania","Lafayette",-11,2018-11-13
"616","Lafayette","Pennsylvania",11,2018-11-13
"617","Bucknell","Canisius",-4.5,2018-11-13
"618","Canisius","Bucknell",4.5,2018-11-13
"619","Maryland-Eastern Shore","Longwood",2.5,2018-11-13
"620","Longwood","Maryland-Eastern Shore",-2.5,2018-11-13
"621","Miami (FL)","Stephen F. Austin",-14,2018-11-13
"622","Stephen F. Austin","Miami (FL)",14,2018-11-13
"623","North Carolina State","UNC Asheville",-18,2018-11-13
"624","UNC Asheville","North Carolina State",18,2018-11-13
"625","Providence","Holy Cross",-15.5,2018-11-13
"626","Holy Cross","Providence",15.5,2018-11-13
"627","South Carolina","Norfolk State",-21.5,2018-11-13
"628","Norfolk State","South Carolina",21.5,2018-11-13
"629","Central Connecticut State","Massachusetts-Lowell",-3.5,2018-11-13
"630","Massachusetts-Lowell","Central Connecticut State",3.5,2018-11-13
"631","Louisville","Southern University",-26.5,2018-11-13
"632","Southern University","Louisville",26.5,2018-11-13
"633","Lehigh","Marist",-8.5,2018-11-13
"634","Marist","Lehigh",8.5,2018-11-13
"635","Cincinnati","North Carolina Central",-25.5,2018-11-13
"636","North Carolina Central","Cincinnati",25.5,2018-11-13
"637","Furman","Gardner-Webb",-12.5,2018-11-13
"638","Gardner-Webb","Furman",12.5,2018-11-13
"639","Loyola (MD)","Delaware State",-13,2018-11-13
"640","Delaware State","Loyola (MD)",13,2018-11-13
"641","Savannah State","Tennessee Tech",2.5,2018-11-13
"642","Tennessee Tech","Savannah State",-2.5,2018-11-13
"643","Fairfield","LIU Brooklyn",-7,2018-11-13
"644","LIU Brooklyn","Fairfield",7,2018-11-13
"645","Charleston Southern","South Carolina State",-13,2018-11-13
"646","South Carolina State","Charleston Southern",13,2018-11-13
"647","Texas Tech","Southeastern Louisiana",-23,2018-11-13
"648","Southeastern Louisiana","Texas Tech",23,2018-11-13
"649","Colorado","Drake",-13.5,2018-11-13
"650","Drake","Colorado",13.5,2018-11-13
"651","Tulane","Coastal Carolina",-4.5,2018-11-13
"652","Coastal Carolina","Tulane",4.5,2018-11-13
"653","Tennessee State","Arkansas-Little Rock",-6,2018-11-13
"654","Arkansas-Little Rock","Tennessee State",6,2018-11-13
"655","Saint Louis","North Alabama",-23,2018-11-13
"656","North Alabama","Saint Louis",23,2018-11-13
"657","Illinois State","Chicago State",-23.5,2018-11-13
"658","Chicago State","Illinois State",23.5,2018-11-13
"659","Illinois","Georgetown",-6,2018-11-13
"660","Georgetown","Illinois",6,2018-11-13
"661","Loyola Marymount","Cal State Northridge",-15.5,2018-11-13
"662","Cal State Northridge","Loyola Marymount",15.5,2018-11-13
"663","Tennessee","Georgia Tech",-16,2018-11-13
"664","Georgia Tech","Tennessee",16,2018-11-13
"665","New Mexico","Iona",-7,2018-11-13
"666","Iona","New Mexico",7,2018-11-13
"667","Northern Colorado","Pepperdine",-11,2018-11-13
"668","Pepperdine","Northern Colorado",11,2018-11-13
"669","BYU","Northwestern State",-24.5,2018-11-13
"670","Northwestern State","BYU",24.5,2018-11-13
"671","Utah State","Mississippi Valley State",-22,2018-11-13
"672","Mississippi Valley State","Utah State",22,2018-11-13
"673","UNLV","UC Riverside",-11.5,2018-11-13
"674","UC Riverside","UNLV",11.5,2018-11-13
"675","California","Hampton",-7.5,2018-11-13
"676","Hampton","California",7.5,2018-11-13
"677","Idaho","Nicholls State",-6,2018-11-13
"678","Nicholls State","Idaho",6,2018-11-13
"679","Richmond","St. Francis (BKN)",-13.5,2018-11-14
"680","St. Francis (BKN)","Richmond",13.5,2018-11-14
"681","Villanova","Michigan",-7,2018-11-14
"682","Michigan","Villanova",7,2018-11-14
"683","Wright State","Toledo",-3,2018-11-14
"684","Toledo","Wright State",3,2018-11-14
"685","Duke","Eastern Michigan",-23,2018-11-14
"686","Eastern Michigan","Duke",23,2018-11-14
"687","Boston College","IUPUI",-16.5,2018-11-14
"688","IUPUI","Boston College",16.5,2018-11-14
"689","Michigan State","Louisiana-Monroe",-24.5,2018-11-14
"690","Louisiana-Monroe","Michigan State",24.5,2018-11-14
"691","Florida","La Salle",-16.5,2018-11-14
"692","La Salle","Florida",16.5,2018-11-14
"693","Marshall","Mount St. Mary's",-18,2018-11-14
"694","Mount St. Mary's","Marshall",18,2018-11-14
"695","Navy","Coppin State",-13,2018-11-14
"696","Coppin State","Navy",13,2018-11-14
"697","Hofstra","North Carolina A&T",-16.5,2018-11-14
"698","North Carolina A&T","Hofstra",16.5,2018-11-14
"699","Notre Dame","Radford",-11.5,2018-11-14
"700","Radford","Notre Dame",11.5,2018-11-14
"701","Clemson","Sam Houston State",-24,2018-11-14
"702","Sam Houston State","Clemson",24,2018-11-14
"703","Bryant University","St. Peter's",7,2018-11-14
"704","St. Peter's","Bryant University",-7,2018-11-14
"705","Virginia Military","USC Upstate",-5,2018-11-14
"706","USC Upstate","Virginia Military",5,2018-11-14
"707","N.J.I.T.","Kean",-42.5,2018-11-14
"708","Kean","N.J.I.T.",42.5,2018-11-14
"709","Indiana State","McKendree",-34.5,2018-11-14
"710","McKendree","Indiana State",34.5,2018-11-14
"711","Drexel","Bryn Athyn",-49.5,2018-11-14
"712","Bryn Athyn","Drexel",49.5,2018-11-14
"713","North Florida","Edward Waters",-30.5,2018-11-14
"714","Edward Waters","North Florida",30.5,2018-11-14
"715","Fairleigh Dickinson","Queens (NY)",-25.5,2018-11-14
"716","Queens (NY)","Fairleigh Dickinson",25.5,2018-11-14
"717","Colgate","Nazareth (NY)",-43.5,2018-11-14
"718","Nazareth (NY)","Colgate",43.5,2018-11-14
"719","Citadel","Johnson (FL)",-48.5,2018-11-14
"720","Johnson (FL)","Citadel",48.5,2018-11-14
"721","Nebraska","Seton Hall",-8.5,2018-11-14
"722","Seton Hall","Nebraska",8.5,2018-11-14
"723","Albany","Boston University",-4,2018-11-14
"724","Boston University","Albany",4,2018-11-14
"725","Oklahoma State","UTSA",-11.5,2018-11-14
"726","UTSA","Oklahoma State",11.5,2018-11-14
"727","Houston","Rice",-23.5,2018-11-14
"728","Rice","Houston",23.5,2018-11-14
"729","Arizona","UTEP",-19,2018-11-14
"730","UTEP","Arizona",19,2018-11-14
"731","Loyola (IL)","Niagara",-14,2018-11-14
"732","Niagara","Loyola (IL)",14,2018-11-14
"733","SMU","Western Carolina",-20,2018-11-14
"734","Western Carolina","SMU",20,2018-11-14
"735","Nebraska-Omaha","Northern Arizona",-8,2018-11-14
"736","Northern Arizona","Nebraska-Omaha",8,2018-11-14
"737","Bradley","Jacksonville State",-7,2018-11-14
"738","Jacksonville State","Bradley",7,2018-11-14
"739","UAB","New Orleans",-12,2018-11-14
"740","New Orleans","UAB",12,2018-11-14
"741","Texas Rio Grande Valley","Prairie View A&M",-2.5,2018-11-14
"742","Prairie View A&M","Texas Rio Grande Valley",2.5,2018-11-14
"743","Indiana","Marquette",-5.5,2018-11-14
"744","Marquette","Indiana",5.5,2018-11-14
"745","Colorado State","Montana State",-11,2018-11-14
"746","Montana State","Colorado State",11,2018-11-14
"747","Kentucky","North Dakota",-26,2018-11-14
"748","North Dakota","Kentucky",26,2018-11-14
"749","Wyoming","Grambling State",-12.5,2018-11-14
"750","Grambling State","Wyoming",12.5,2018-11-14
"751","New Mexico State","Saint Mary's",-2,2018-11-14
"752","Saint Mary's","New Mexico State",2,2018-11-14
"753","Seattle","Washington State",-120,2018-11-14
"754","Washington State","Seattle",NA,2018-11-14
"755","San Diego State","Texas Southern",-120,2018-11-14
"756","Texas Southern","San Diego State",-120,2018-11-14
"757","USC","Stetson",-120,2018-11-14
"758","Stetson","USC",-120,2018-11-14
"759","Virginia Tech","Ball State",-7.5,2018-11-15
"760","Ball State","Virginia Tech",7.5,2018-11-15
"761","Wake Forest","Saint Joseph's (PA)",3.5,2018-11-15
"762","Saint Joseph's (PA)","Wake Forest",-3.5,2018-11-15
"763","Cal State Fullerton","UCF",4,2018-11-15
"764","UCF","Cal State Fullerton",-4,2018-11-15
"765","Northeastern","Alabama",3,2018-11-15
"766","Alabama","Northeastern",-3,2018-11-15
"767","Appalachian State","Purdue",13.5,2018-11-15
"768","Purdue","Appalachian State",-13.5,2018-11-15
"769","Western Kentucky","Valparaiso",-5,2018-11-15
"770","Valparaiso","Western Kentucky",5,2018-11-15
"771","Central Michigan","Cal State Bakersfield",-1.5,2018-11-15
"772","Cal State Bakersfield","Central Michigan",1.5,2018-11-15
"773","Creighton","Ohio State",2.5,2018-11-15
"774","Ohio State","Creighton",-2.5,2018-11-15
"775","Cornell","Delaware",-2,2018-11-15
"776","Delaware","Cornell",2,2018-11-15
"777","Troy","Southern Miss",-1.5,2018-11-15
"778","Southern Miss","Troy",1.5,2018-11-15
"779","Davidson","Wichita State",-1,2018-11-15
"780","Wichita State","Davidson",1,2018-11-15
"781","West Virginia","Monmouth",-18.5,2018-11-15
"782","Monmouth","West Virginia",18.5,2018-11-15
"783","Connecticut","Syracuse",9.5,2018-11-15
"784","Syracuse","Connecticut",-9.5,2018-11-15
"785","Bowling Green","North Carolina Central",-9.5,2018-11-15
"786","North Carolina Central","Bowling Green",9.5,2018-11-15
"787","Pittsburgh","Central Arkansas",-11,2018-11-15
"788","Central Arkansas","Pittsburgh",11,2018-11-15
"789","Quinnipiac","Hartford",-2.5,2018-11-15
"790","Hartford","Quinnipiac",2.5,2018-11-15
"791","Lipscomb","Belmont",1.5,2018-11-15
"792","Belmont","Lipscomb",-1.5,2018-11-15
"793","Illinois-Chicago","William & Mary",-2,2018-11-15
"794","William & Mary","Illinois-Chicago",2,2018-11-15
"795","Utah","Mississippi Valley State",-29.5,2018-11-15
"796","Mississippi Valley State","Utah",29.5,2018-11-15
"797","Weber State","San Jose State",-11.5,2018-11-15
"798","San Jose State","Weber State",11.5,2018-11-15
"799","DePaul","Penn State",1.5,2018-11-15
"800","Penn State","DePaul",-1.5,2018-11-15
"801","TCU","Fresno State",-11,2018-11-15
"802","Fresno State","TCU",11,2018-11-15
"803","BYU","Oral Roberts",-17.5,2018-11-15
"804","Oral Roberts","BYU",17.5,2018-11-15
"805","Idaho State","Pacific",1.5,2018-11-15
"806","Pacific","Idaho State",-1.5,2018-11-15
"807","Denver","Abilene Christian",-5.5,2018-11-15
"808","Abilene Christian","Denver",5.5,2018-11-15
"809","Iowa","Oregon",4,2018-11-15
"810","Oregon","Iowa",-4,2018-11-15
"811","Santa Clara","UC Irvine",10,2018-11-15
"812","UC Irvine","Santa Clara",-10,2018-11-15
"813","Gonzaga","Texas A&M",-16,2018-11-15
"814","Texas A&M","Gonzaga",16,2018-11-15
"815","California","Detroit Mercy",-12.5,2018-11-15
"816","Detroit Mercy","California",12.5,2018-11-15
"817","Incarnate Word","Montana",22.5,2018-11-16
"818","Montana","Incarnate Word",-22.5,2018-11-16
"819","Northeastern","Virginia Tech",6.5,2018-11-16
"820","Virginia Tech","Northeastern",-6.5,2018-11-16
"821","Cal State Fullerton","Wake Forest",4.5,2018-11-16
"822","Wake Forest","Cal State Fullerton",-4.5,2018-11-16
"823","Austin Peay","Central Connecticut State",-3,2018-11-16
"824","Central Connecticut State","Austin Peay",3,2018-11-16
"825","Baylor","Nicholls State",-18,2018-11-16
"826","Nicholls State","Baylor",18,2018-11-16
"827","Old Dominion","Oregon State",1.5,2018-11-16
"828","Oregon State","Old Dominion",-1.5,2018-11-16
"829","Tulsa","California Baptist",-11,2018-11-16
"830","California Baptist","Tulsa",11,2018-11-16
"831","Alabama","Ball State",-3,2018-11-16
"832","Ball State","Alabama",3,2018-11-16
"833","UCF","Saint Joseph's (PA)",-1.5,2018-11-16
"834","Saint Joseph's (PA)","UCF",1.5,2018-11-16
"835","North Dakota State","Miami (OH)",2.5,2018-11-16
"836","Miami (OH)","North Dakota State",-2.5,2018-11-16
"837","Campbell","Florida A&M",-6,2018-11-16
"838","Florida A&M","Campbell",6,2018-11-16
"839","Missouri","Kennesaw State",-18,2018-11-16
"840","Kennesaw State","Missouri",18,2018-11-16
"841","UMBC","Air Force",-1,2018-11-16
"842","Air Force","UMBC",1,2018-11-16
"843","Wichita State","Appalachian State",-6.5,2018-11-16
"844","Appalachian State","Wichita State",6.5,2018-11-16
"845","Ohio","South Florida",-6,2018-11-16
"846","South Florida","Ohio",6,2018-11-16
"847","Oregon","Syracuse",-110,2018-11-16
"848","Syracuse","Oregon",NA,2018-11-16
"849","Coastal Carolina","Manhattan",-110,2018-11-16
"850","Manhattan","Coastal Carolina",-110,2018-11-16
"851","Florida Atlantic","Georgia Southern",-110,2018-11-16
"852","Georgia Southern","Florida Atlantic",-110,2018-11-16
"853","Morehead State","UMKC",-110,2018-11-16
"854","UMKC","Morehead State",-110,2018-11-16
"855","Army","Sacred Heart",-120,2018-11-16
"856","Sacred Heart","Army",-120,2018-11-16
"857","Southeast Missouri State","Jacksonville",-110,2018-11-16
"858","Jacksonville","Southeast Missouri State",-110,2018-11-16
"859","Pennsylvania","Northern Iowa",-110,2018-11-16
"860","Northern Iowa","Pennsylvania",-110,2018-11-16
"861","South Dakota","High Point",-110,2018-11-16
"862","High Point","South Dakota",-110,2018-11-16
"863","Holy Cross","Stony Brook",-110,2018-11-16
"864","Stony Brook","Holy Cross",-110,2018-11-16
"865","Fordham","Florida International",-110,2018-11-16
"866","Florida International","Fordham",-110,2018-11-16
"867","Monmouth","Valparaiso",-110,2018-11-16
"868","Valparaiso","Monmouth",-110,2018-11-16
"869","Iowa","Connecticut",-110,2018-11-16
"870","Connecticut","Iowa",-110,2018-11-16
"871","Maryland","Hofstra",-110,2018-11-16
"872","Hofstra","Maryland",-110,2018-11-16
"873","Cincinnati","Milwaukee",-110,2018-11-16
"874","Milwaukee","Cincinnati",-110,2018-11-16
"875","Rhode Island","Harvard",-110,2018-11-16
"876","Harvard","Rhode Island",-110,2018-11-16
"877","Richmond","IUPUI",-110,2018-11-16
"878","IUPUI","Richmond",-110,2018-11-16
"879","Rutgers","St. John's",-110,2018-11-16
"880","St. John's","Rutgers",-110,2018-11-16
"881","Davidson","Purdue",-110,2018-11-16
"882","Purdue","Davidson",-110,2018-11-16
"883","Georgetown","Loyola Marymount",-110,2018-11-16
"884","Loyola Marymount","Georgetown",-110,2018-11-16
"885","Northern Kentucky","UNC Asheville",-110,2018-11-16
"886","UNC Asheville","Northern Kentucky",-110,2018-11-16
"887","Dayton","Purdue Fort Wayne",-110,2018-11-16
"888","Purdue Fort Wayne","Dayton",-110,2018-11-16
"889","North Carolina","Tennessee Tech",-110,2018-11-16
"890","Tennessee Tech","North Carolina",-110,2018-11-16
"891","Mercer","Tennessee-Martin",-110,2018-11-16
"892","Tennessee-Martin","Mercer",-110,2018-11-16
"893","Savannah State","Gardner-Webb",-120,2018-11-16
"894","Gardner-Webb","Savannah State",-120,2018-11-16
